Country Name,Country Code,Population,GDP
Tonga,TON,103197,488829964.070819
Trinidad and Tobago,TTO,1389858,21588037504.9992
Tunisia,TUN,11565204,41620349986.3089
Turkey,TUR,82319724,719954821683.31
Turks and Caicos Islands,TCA,37665,924583000.0
Tuvalu,TUV,11508,48855550.2030142
Uganda,UGA,42723139,37600368180.9399
Ukraine,UKR,44622516,155498989149.587
United Arab Emirates,ARE,9630959,358868765174.924
United Kingdom,GBR,66460344,2759804061837.07
US,USA,326687501,20953030000000.0
Uruguay,URY,3449299,53628827440.3582
Uzbekistan,UZB,32955400,59929951114.3598
Vanuatu,VUT,292680,881547928.58381
Zambia,ZMB,17351822,18110631358.3114
Zimbabwe,ZWE,14439018,18051170798.941
